project_id	donor_id	file_id	bundle_id	object_id	filename	SM	LB	PL	PM	PU	AS	PI	CN	DT
PRAD-FR	DO229073	FI802067	c8148d98-0a01-5e72-9556-acfb28f4eb64	EGAR00001503257	c02e3b4bb70028ed1e5671562d21e863.ls210_D1135ACXX_5_12.ua.bam	NONE								
PRAD-FR	DO229075	FI802007	7ba44c1a-9432-543a-8c72-6a4968de323e	EGAR00001503378	9e53dde2b9044c97f67604468cb8a5ef.ls802_D24UWACXX_6_8nf.ua.bam	NONE								
PRAD-FR	DO229068	FI802014	97a8bdc5-681a-5530-bf84-c038609ca369	EGAR00001502943	e2428f52df5f46c0637a98d44f0880ad.ls709_D1WUUACXX_5_19.ua.bam	NONE								
PRAD-FR	DO229065	FI802015	c0994c1c-75f4-5105-931b-f74d5890961b	EGAR00001502769	6beb5d1b1fe64955d57d9ffa81aaf11f.ls761_D1YTDACXX_2_10nf.ua.bam	NONE								
PRAD-FR	DO229068	FI802020	4a9f6bf2-fcc3-57ae-8539-829cabb836ad	EGAR00001502922	3d6b2a7379619c18024b1daff73dd7a4.ls131_D112PACXX_7_3.ua.bam	NONE								
PRAD-FR	DO229073	FI802023	c7c1e97b-edc4-52a0-8991-b7c2b4008310	EGAR00001503223	af841e6eff11d79d5c1952ddf1eab2b2.ls2589_C48J5ACXX_6_2nf.ua.bam	NONE								
PRAD-FR	DO229064	FI802024	e265028b-fc62-56c0-93b4-ad241888e221	EGAR00001502688	4251f57bb48404ac0216605e731c7174.ls181_D1132ACXX_8_1.ua.bam	NONE								
PRAD-FR	DO229079	FI801977	7a60b024-bd2f-542a-a87e-2a123ba426b1	EGAR00001503479	7b40afe45f1f1858d8f70b7275df87e9.ls1688_C3BPNACXX_3_12nf.ua.bam	NONE								
PRAD-FR	DO229066	FI801934	9f997b42-f7b6-5bd9-aaf6-d8efb44bf148	EGAR00001502817	4767241f11f6c8e155c147e3b281190c.ls655_C22YTACXX_2_4nf.ua.bam	NONE								
PRAD-FR	DO229113	FI801937	0070977b-f484-5200-8ccd-ce4c3183ae35	EGAR00001503719	57d5f022737ab23b3969c3bcd1e56525.ls2675_C48L0ACXX_2_10nf.ua.bam	NONE								
PRAD-FR	DO229064	FI801960	5c3a32e8-085a-5469-8fe1-50b227de197d	EGAR00001502725	72a344c5b9ed968be90a0793501a1721.ls2459_C4U20ACXX_7_8nf.ua.bam	NONE								
PRAD-FR	DO229070	FI801917	b5782623-0fcf-5526-9e4b-6673f6de0b5c	EGAR00001503064	585c9ca7e2dda121faddad56563190ec.ls640_C1VMEACXX_5_21.ua.bam	NONE								
PRAD-FR	DO229072	FI801920	ae26a582-5b57-5f65-9a25-8fe2da8c282f	EGAR00001503138	f5e8226fe35aefe010e05e34fe145863.ls71_D1117ACXX_4_27.ua.bam	NONE								
PRAD-FR	DO229070	FI801882	ea202e9c-edbc-52bf-94c8-46618b47c8c1	EGAR00001503028	50eb8de88f7f0d628d4ba958676d907e.ls189_D1134ACXX_8_20.ua.bam	NONE								
PRAD-FR	DO229117	FI801810	3402e806-cf63-530b-a3d7-3f78d0f6ae7d	EGAR00001503839	4ccc02c2965a462a39c2dacba38a19f0.ls2516_C48L0ACXX_1_1nf.ua.bam	NONE								
PRAD-FR	DO229119	FI801826	6b590f38-909a-5be0-89b0-e742c3bbe5ff	EGAR00001503867	0d6964c326723e4cfd0bd5cd90b44797.ls1573_C2LN3ACXX_8_19nf.ua.bam	NONE								
PRAD-FR	DO229117	FI801844	2987c1c8-4c01-54bd-b724-1906d2b84121	EGAR00001503826	17d16074f1428a34aa5815667d09b2b2.ls2484_C48WNACXX_8_1nf.ua.bam	NONE								
PRAD-FR	DO229117	FI801780	2ab0c26b-7b4f-54c2-9d5e-0a1edd85fdb9	EGAR00001503809	ad393965b74b4a53c4217b5d10bc286e.ls1737_C2NCBACXX_8_4nf.ua.bam	NONE								
PRAD-FR	DO229112	FI801732	073c9b1d-13e3-505c-993d-05e19024d759	EGAR00001503622	e36e4543d820c9379935e16afd58efc5.ls405_C1PA7ACXX_3_20nf.ua.bam	NONE								
PRAD-FR	DO229064	FI801752	c3e7647d-1e70-5c50-859e-c37650f721cd	EGAR00001502655	cf7e70be640e79be2f628fe7fea77b9e.ls2528_C48L0ACXX_2_8nf.ua.bam	NONE								
PRAD-FR	DO229065	FI801771	78810d9c-8226-5265-8a66-bb6d25fdba2f	EGAR00001502794	829606abb9d65f5f96200afedbfac634.ls302_D1ECEACXX_5_10nf.ua.bam	NONE								
PRAD-FR	DO229068	FI801703	4d0c2085-0278-54f8-9783-591ec76506c4	EGAR00001502919	7907024ebc0a55ceae06db4330320ab5.ls118_D112PACXX_4_19.ua.bam	NONE								
PRAD-FR	DO229066	FI801700	43d64c17-2830-5225-8aa6-1558504330e5	EGAR00001502849	221b416e097adc170b125ace090a59ff.ls748_D1YKDACXX_6_4nf.ua.bam	NONE								
PRAD-FR	DO229072	FI801721	655334ed-2cae-57c7-a9a3-6b79a65e2125	EGAR00001503151	92a63122d1499f69da61a218b6b11d18.ls2436_C48Y7ACXX_7_4nf.ua.bam	NONE								
